Marca temporal;  ¿Cuál es su edad?  ;¿Con qué género se identifica usted?  ;  ¿En qué comuna reside actualmente?  ;  Alojamiento y estadía  ;Responda esta pregunta solo si en la anterior seleccionó “Sí”.  ;¿Qué tipo de alojamiento utilizó?  ;Transporte: $  ;Alojamiento: $  ;Alimentación: $  ;Compras (vino, recuerdos, artesanías): $  ;Seguridad ;Limpieza  ;Comodidad  ;Programación artística  ;Acceso a baños  ;"¿Estás de acuerdo con la afirmación: ""La Vendimia refuerza la identidad cultural de San Fernando""? "
05-03-2025 15:48;38;;San Fernando;No;0;Casa propia ;0;0;10000;30000;2;5;2;1;1;5
05-03-2025 15:52;50;;San Fernando;No;0;Casa propia ;0;0;25000;35000;5;4;4;2;1;5
05-03-2025 15:57;23;;San Fernando;No;0;Casa de amigos o familiares;1000;0;25000;15000;5;5;5;2;2;5
05-03-2025 16:00;44;;Rancagua ;No;0;Viaje ;10000;0;20000;20000;5;5;3;2;2;5
05-03-2025 16:02;62;;San Fernando;No;0;Casa propia ;0;0;30000;30000;5;5;5;1;5;5
05-03-2025 16:05;36;;San Fernando;No;0;Casa propia ;0;0;20000;20000;3;5;2;1;1;5
05-03-2025 16:06;39;;Machali;No;0;Viaje ;15000;0;25000;25000;3;5;2;5;3;5
05-03-2025 16:09;22;;San Fernando;No;0;Casa propia ;0;0;60000;20000;5;5;3;1;1;5
05-03-2025 16:11;30;;San Fernando;No;0;Casa de amigos o familiares;0;0;15000;30000;5;5;5;1;1;5
05-03-2025 16:13;57;;La Florida ;No;0;Viaje ;20000;0;50000;50000;5;5;4;2;1;5
05-03-2025 16:15;48;;La Florida ;No;0;Viaje ;20000;0;45000;45000;5;5;3;1;2;5
05-03-2025 16:18;26;;San Fernando;No;0;Casa propia ;0;0;30000;0;5;5;4;3;3;5
05-03-2025 16:21;22;;La Florida ;Sí;1;Casa de amigos o familiares;20000;0;15000;35000;5;4;3;1;2;5
05-03-2025 16:23;42;;San Fernando;No;0;Casa de amigos o familiares;0;0;35000;15000;5;5;2;1;1;5
05-03-2025 16:27;25;;Providencia;Sí;2;Casa de amigos o familiares;30000;0;50000;70000;5;5;5;3;4;5
05-03-2025 16:30;48;;Pichilemu;No;0;Viaje ;20000;0;20000;20000;5;5;5;5;4;5
05-03-2025 16:32;30;;Santiago ;Sí;3;Casa de amigos o familiares;7000;0;50000;30000;5;5;4;3;2;5
05-03-2025 16:34;42;;San Fernando;No;0;Casa propia ;0;0;50000;70000;5;5;5;5;2;5
05-03-2025 16:36;66;;Chimbarongo ;No;0;Viaje ;5000;0;25000;80000;5;5;3;1;1;5
05-03-2025 16:41;27;;San Fernando;No;0;Casa propia ;3000;0;40000;80000;5;3;3;3;2;5
05-03-2025 16:44;66;;San Fernando;No;0;Casa propia ;2000;0;20000;30000;5;5;5;1;1;5
05-03-2025 16:48;25;;Limache;No;0;Viaje ;25000;0;15000;10000;5;4;5;1;1;5
05-03-2025 16:50;26;;Providencia;No;0;Viaje ;9000;0;15000;5000;5;4;5;2;1;5
05-03-2025 16:51;28;;San juaquin;No;0;Viaje ;9000;0;10000;10000;5;4;4;1;1;5
05-03-2025 16:56;35;;San Fernando;No;0;Casa propia ;0;0;60000;60000;4;5;5;2;2;5
05-03-2025 17:00;46;;Graneros;No;0;Viaje ;30000;0;100000;50000;5;5;2;1;1;5
05-03-2025 17:03;49;;Graneros ;No;0;Viaje ;30000;0;100000;60000;5;5;3;1;1;5
05-03-2025 17:07;36;;San miguel;Sí;2;Casa de amigos o familiares;14000;0;50000;30000;5;5;3;1;3;5
05-03-2025 17:09;43;;Puente alto;No;0;Viaje;25000;0;50000;20000;5;5;3;1;4;5
05-03-2025 17:12;47;;Puente varas;Sí;5;Casa de amigos o familiares;150000;0;50000;25000;5;5;3;1;2;5
05-03-2025 17:16;62;;Quilicura;No;0;Viaje ;15000;0;50000;30000;5;5;5;3;2;5
05-03-2025 17:19;45;;San Fernando;No;0;Casa propia ;0;0;50000;67000;5;4;5;1;1;5
05-03-2025 18:39;41;;San Fernando;No;0;Casa de amigos o familiares;50000;0;20000;20000;5;5;4;3;4;5
05-03-2025 18:40;40;;San Fernando;No;0;Casa de amigos o familiares;5000;0;10000;20000;5;5;4;3;4;5
05-03-2025 18:45;20;;San Fernando;No;0;Casa de amigos o familiares;0;0;15000;0;4;4;3;3;3;4
05-03-2025 18:50;26;;Santiago ;No;0;Viene por el día ;14000;0;40000;15000;5;5;4;4;4;5
05-03-2025 18:50;35;;Santa Cruz ;No;0;Casa de amigos o familiares;5000;0;5000;10000;5;5;5;3;4;5
05-03-2025 18:52;28;;San Fernando;No;0;Casa de amigos o familiares;0;0;0;12000;5;5;5;2;5;5
05-03-2025 18:52;45;;San Fernando;No;0;Casa de amigos o familiares;2000;0;10000;5000;5;4;4;4;4;5
05-03-2025 18:55;55;;San Fernando;No;0;Casa de amigos o familiares;2000;0;20000;0;4;4;3;3;4;5
05-03-2025 19:01;42;;San Fernando;No;0;Casa de amigos o familiares;500;0;7000;5000;5;5;5;5;5;5
05-03-2025 19:05;56;;San Fernando;No;0;Casa de amigos o familiares;2000;0;10000;30000;4;5;4;3;4;4
05-03-2025 19:08;58;;San Fernando;No;0;Casa de amigos o familiares;0;0;5000;5000;5;5;5;4;4;5
05-03-2025 19:12;78;;San Fernando;No;0;Casa de amigos o familiares;0;0;10000;15000;5;5;5;5;5;5
05-03-2025 19:14;40;;San Fernando;No;0;Casa de amigos o familiares;0;0;20000;23000;5;5;5;3;4;5
05-03-2025 19:14;44;;San Fernando;No;0;Casa de amigos o familiares;0;0;50000;13000;5;5;5;1;2;5
05-03-2025 19:19;54;;San Fernando;No;0;Casa de amigos o familiares;2000;0;5000;13000;5;4;4;3;4;5
05-03-2025 19:22;57;;Santiago ;Sí;2;Cabaña/Airbnb;70000;0;100000;72000;5;5;5;3;4;5
05-03-2025 19:22;60;;San Fernando;No;0;Casa de amigos o familiares;3000;0;5000;26000;5;5;5;5;4;5
